Varenavn;Pris;Volum;Alkohol;AlkPerKrone
Viña Maipo Mi Pueblo Cabernet Sauvignon 2017;92.9;0.75;11.5;0.092841765
Bod. San Alejandro El Politico 2015;312.9;2;14.5;0.092681368
Stowells White Zinfandel Rose;339.9;3;10.5;0.092674316
Ruby Zin;404.9;3;12.5;0.092615461
Santa Carolina Cabernet Sauvignon 2016;404.9;3;12.5;0.092615461
Dworek Vodka;283.9;0.7;37.5;0.092462135
Kirow Vodka;283.9;0.7;37.5;0.092462135
Rocca di Montemassi Vermentino 2017;421.8;3;13;0.092460882
Kalinka;202.9;0.5;37.5;0.092410054
Valpantena Rosé 2017;389.9;3;12;0.092331367
Chapelle du Bois 2017;389.9;3;12;0.092331367
Ken Creek;389.9;3;12;0.092331367
Escada Arinto Reserva;389.9;3;12;0.092331367
De Bortoli Family Selection Gewurztraminer Riesling;389.9;3;12;0.092331367
Boris Jelzin Vodka;1219.9;3;37.5;0.092220674
Lordson Dry Gin;1219.9;3;37.5;0.092220674
Rocca di Montemassi Sangiovese;422.9;3;13;0.092220383
Gran Feudo Rosado 2017;109.8;0.75;13.5;0.092213115
Kalinka;284.9;0.7;37.5;0.092137592
KGB Vodka;284.9;0.7;37.5;0.092137592
Red Square Vodka;284.9;0.7;37.5;0.092137592
Wolf Blass Eaglehawk Shiraz 2017;109.9;0.75;13.5;0.092129208
Rosemount Shiraz Cabernet 2017;109.9;0.75;13.5;0.092129208
Wolf Blass Eaglehawk Chardonnay 2017;109.9;0.75;13.5;0.092129208
Wolf Blass Eaglehawk Cabernet Sauvignon 2017;109.9;0.75;13.5;0.092129208
Emiliana Earth Balance 2017;219.9;1.5;13.5;0.092087312
Campos de Luz Garnacha 2016;105.9;0.75;13;0.092067989
Tariquet Blanche Armagnac;349.9;0.7;46;0.092026293
La Familia Piemonte Barbera 2016;407.5;3;12.5;0.09202454
Paxis Arinto;375;3;11.5;0.092
Explorer Vodka;203.9;0.5;37.5;0.091956842
Kirow Vodka;203.9;0.5;37.5;0.091956842
El Sabroso Païs 2017;102;0.75;12.5;0.091911765
Peter Dawson Special;304.9;0.7;40;0.091833388
Durius Zorita Tempranillo 2013;110.3;0.75;13.5;0.091795104
Nynorsk Raudvin;424.9;3;13;0.091786303
Monastier Cabernet Sauvignon 2016;424.9;3;13;0.091786303
Ricossa Barbera 2016;424.9;3;13;0.091786303
Rocca Sangiovese Rubicone 2016;89.9;0.75;11;0.091768632
Brown Brothers Chenin Blanc 2014;89.9;0.75;11;0.091768632
Castelforte Spumante Brut;89.9;0.75;11;0.091768632
Tavernello;119.9;1;11;0.091743119
Tavernello Rosato;119.9;1;11;0.091743119
Amundsen Arctic Vodka Extra;414.9;1;38;0.091588335
KGB Vodka;204.9;0.5;37.5;0.091508053
Koskenkorva;409.9;1;37.5;0.091485728
Explorer Gin;409.9;1;37.5;0.091485728
Cafaggio Toscana 2017;409.9;3;12.5;0.091485728
Jacob's Creek Grenache Shiraz 2017;118.9;0.75;14.5;0.091463415
Periquita 2015;426.9;3;13;0.09135629
